"","state","county1","fps_state","fps_county","state.x","county.x","pop.2000","total","x","commercial","industrial","residential","electricity.prod","onroad","cement","aircraft","unknown","nonroad","transport","other","cbsa.code","metro.division.code","csa.code","cbsa.title","metropolitan.micropolitan.statistical.area","metropolitan.division.title","csa.title","county.county.equivalent","state.name","central.outlying.county","state.y","county.y","name","popestimate2002","LND010190D","county","STCOU","percap","pop_dens"
"12","AK","Juneau",2,110,"AK","Juneau City and Borough",30711,10.79175201,NA,1.125115104,0.459811263,0.493998035,0.01657711,0.816357983,0,1.304473053,6.440454658,0.134964805,8.6962505,"H6","27940",NA,NA,"Juneau, AK","Micropolitan Statistical Area","","","Juneau City and Borough","Alaska","Central","AK","Juneau City and Borough","Juneau City and Borough",30751,3081.12,"Juneau",2110,0.000350939872199278,9.98046165030898
"13","AK","Kenai",2,122,"AK","Kenai Peninsula Borough",49691,17.46825943,NA,0.742004811,11.08974764,0.698879834,0.701554349,1.650601317,0,0.406487712,2.006914328,0.172069444,4.236072802,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Kenai Peninsula Borough",50835,21664.33,"Kenai Peninsula",2122,0.000343626623979542,2.34648382848673
"14","AK","Ketchikan",2,130,"AK","Ketchikan Gateway Borough",14070,9.755991562,NA,1.16915344,5.788332562,0.554280825,0,0.865263487,0,0.2067178,1.020608763,0.151634684,2.244224734,"H1","28540",NA,NA,"Ketchikan, AK","Micropolitan Statistical Area","","","Ketchikan Gateway Borough","Alaska","Central","AK","Ketchikan Gateway Borough","Ketchikan Gateway Borough",13668,1743.55,"Ketchikan Gateway",2130,0.000713783403716711,7.83917868716125
"15","AK","Kodiak",2,150,"AK","Kodiak Island Borough",13913,16.30543719,NA,0.687254398,5.669044851,0.495578337,0,0.866437953,0,1.411864513,6.970668641,0.204588494,9.453559601,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Kodiak Island Borough",13822,11845.9,"Kodiak Island",2150,0.00117967278179713,1.16681721101816
"16","AK","Lake",2,164,"AK","Lake and Peninsula Borough",1823,47.32265815,NA,0.204747329,0.288262327,0.503383627,0,1.605718858,0,7.261376692,35.85092603,1.608243283,46.32626487,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Lake and Peninsula Borough",1622,29008.24,"Lake and Peninsula",2164,0.02917549824291,0.0559151468686139
"17","AK","Matanuska-Susitna",2,170,"AK","Matanuska-Susitna Borough",59322,4.857145765,NA,0.576242864,0.154141288,0.66940407,0,1.512196059,0,0.30633881,1.512458392,0.126364284,3.457357544,"H1","11260",NA,NA,"Anchorage, AK","Metropolitan Statistical Area","","","Matanuska-Susitna Borough","Alaska","Outlying","AK","Matanuska-Susitna Borough","Matanuska-Susitna Borough",65141,25232.41,"Matanuska-Susitna",2170,7.45635738628514e-05,2.58164004151803
"18","AK","Nome",2,180,"AK","Nome Census Area",9196,22.48513721,NA,0.786745449,0.057144652,0.476175222,0.164399868,1.422728547,0,3.253792139,16.06464818,0.25950315,21.00067201,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Nome Census Area",9232,28276.17,"Nome",2180,0.00243556512240035,0.326494005376259
"19","AK","North",2,185,"AK","North Slope Borough",7385,378.0781541,NA,2.189549091,323.7639035,0.573766631,35.14630077,1.081013235,0,2.51925921,12.43810644,0.366255319,16.4046342,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"North Slope Borough",7263,93823.1,"North Slope",2185,0.0520553702464546,0.0774116395642438
"20","AK","Northwest",2,188,"AK","Northwest Arctic Borough",7208,29.93094763,NA,0.716784906,8.42985e-05,0.413420126,2.05122768,1.311304174,0,4.242978844,20.94846866,0.246678936,26.74943062,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Northwest Arctic Borough",7321,40660.96,"Northwest Arctic",2188,0.00408836875153668,0.180049856176539
"21","AK","Sitka",2,220,"AK","Sitka City and Borough",8835,7.807678307,NA,1.128416224,1.264964653,0.488519488,0,0.805686827,0,0.664089468,3.278747792,0.177253854,4.925777942,"H6",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Sitka City and Borough",8829,4849.75,"Sitka",2220,0.000884321928530977,1.82050621166039
"22","AK","Southeast",2,240,"AK","Southeast Fairbanks Census Area",6174,13.63159852,NA,0.333912443,0.459310208,0.390893481,0,1.645807132,0,1.787841616,8.826945771,0.186887864,12.44748238,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Southeast Fairbanks Census",5631,26235.44,"Southeast Fairbanks",2240,0.00242081309181318,0.214633335671138
"23","AK","Valdez-Cordova",2,261,"AK","Valdez-Cordova Census Area",10195,23.57887789,NA,0.752390751,13.01681987,0.598776323,3.466847004,1.792124276,0,0.613912446,3.031013395,0.306993825,5.744043943,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Valdez-Cordova Census Area",10126,43515.67,"Valdez-Cordova",2261,0.00232854808315228,0.232697784499239
"24","AK","Wade",2,270,"AK","Wade Hampton Census Area",7028,25.30577867,NA,0.399768115,0.074772655,0.357477963,0,1.862918455,0,3.774114026,18.63358557,0.203141888,24.47375994,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Wade Hampton Census Area",7257,19680.08,"Wade Hampton",2270,0.00348708538927932,0.368748501022354
"25","AK","Yakutat",2,282,"AK","Yakutat City and Borough",808,67.40015318,NA,0.478239075,42.6110918,0.525723352,0,1.683328735,0,3.590917191,17.72910438,0.78174865,23.78509895,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Yakutat City and Borough",754,0,"Yakutat",2282,0.0893901235809019,Inf
"26","AK","Yukon-Koyukuk",2,290,"AK","Yukon-Koyukuk Census Area",6551,67.57970116,NA,0.327635493,0,0.343732843,0,1.755722892,0,10.8993757,53.81248377,0.440750468,66.90833282,"H5",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Yukon-Koyukuk Census Area",6375,158995.95,"Yukon-Koyukuk",2290,0.0106007374368627,0.0400953609195706
"27","AL","Autauga",1,1,"AL","Autauga County",43671,5.865829163,NA,0.068711759,0.101527345,0.232385318,3.560906606,1.711907369,0,0.022344572,0.056167233,0.111878962,1.902298137,"H1","33860",NA,NA,"Montgomery, AL","Metropolitan Statistical Area","","","Autauga County","Alabama","Central","AL","Autauga County","Autauga County",45604,604.49,"Autauga",1001,0.000128625321528813,75.4421082234611
"28","AL","Baldwin",1,3,"AL","Baldwin County",140415,3.205008455,NA,0.109305839,0.084632531,0.227528835,0,1.984894283,0,0.127066885,0.319406086,0.352173997,2.783541251,"H1","19300",NA,380,"Daphne-Fairhope-Foley, AL","Metropolitan Statistical Area","","Mobile-Daphne-Fairhope, AL","Baldwin County","Alabama","Central","AL","Baldwin County","Baldwin County",147932,2027.08,"Baldwin",1003,2.16654169145283e-05,72.9778795114154
"29","AL","Barbour",1,5,"AL","Barbour County",29038,3.422079117,NA,0.065589089,0.294629655,0.216389794,0,1.967853874,0,0.188338059,0.473422422,0.215856222,2.845470578,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Barbour County",28826,904.59,"Barbour",1005,0.000118715018282106,31.8663703998497
"30","AL","Bibb",1,7,"AL","Bibb County",20826,2.20613998,NA,0.036913957,0.07788641,0.221568766,0,1.716397441,0,0.018258901,0.045897104,0.089217401,1.869770846,"H1","13820",NA,142,"Birmingham-Hoover, AL","Metropolitan Statistical Area","","Birmingham-Hoover-Talladega, AL","Bibb County","Alabama","Outlying","AL","Bibb County","Bibb County",21838,625.5,"Bibb",1007,0.000101022986537229,34.9128697042366
"31","AL","Blount",1,9,"AL","Blount County",51024,2.249456173,NA,0.038244955,0.177552731,0.218762053,0,1.712933689,0,0.005840861,0.014682095,0.081439789,1.814896435,"H1","13820",NA,142,"Birmingham-Hoover, AL","Metropolitan Statistical Area","","Birmingham-Hoover-Talladega, AL","Blount County","Alabama","Outlying","AL","Blount County","Blount County",52968,650.65,"Blount",1009,4.24682104855762e-05,81.4078229462845
"32","AL","Bullock",1,11,"AL","Bullock County",11714,2.675436119,NA,0.041185884,0.298530268,0.227595685,0,1.98997561,0,0,0,0.118148672,2.108124282,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Bullock County",11367,626.11,"Bullock",1011,0.000235368709334037,18.154956796729
"33","AL","Butler",1,13,"AL","Butler County",21399,4.580107027,NA,0.077292352,0.150067154,0.236214973,0,3.863183308,0,0.024807325,0.06235778,0.166184135,4.116532548,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Butler County",20911,777.99,"Butler",1013,0.000219028598680121,26.8782375094796
"34","AL","Calhoun",1,15,"AL","Calhoun County",112249,4.16006217,NA,0.112041937,0.412305156,0.244346586,0,3.092223526,0,0.044990946,0.113093047,0.141060972,3.391368491,"H1","11500",NA,NA,"Anniston-Oxford-Jacksonville, AL","Metropolitan Statistical Area","","","Calhoun County","Alabama","Central","AL","Calhoun County","Calhoun County",111616,612.35,"Calhoun",1015,3.72711992008314e-05,182.274842818649
"35","AL","Chambers",1,17,"AL","Chambers County",36583,2.30837555,NA,0.06643874,0.306400753,0.23399262,0,1.558866584,0,0.009694282,0.024368404,0.108614165,1.701543436,"H1","46740",NA,194,"Valley, AL","Micropolitan Statistical Area","","Columbus-Auburn-Opelika, GA-AL","Chambers County","Alabama","Central","AL","Chambers County","Chambers County",36251,603.15,"Chambers",1017,6.36775688946512e-05,60.1027936665838
"36","AL","Cherokee",1,19,"AL","Cherokee County",23988,2.587362811,NA,0.035778028,0.073517278,0.215104362,0,1.864771033,0,0.024154732,0.060717389,0.313319989,2.262963143,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Cherokee County",24315,600,"Cherokee",1019,0.000106410150565495,40.525
"37","AL","Chilton",1,21,"AL","Chilton County",39593,4.357519979,NA,0.04897785,1.357980021,0.223591208,0,2.39506925,0,0.064870511,0.163064037,0.103967103,2.726970901,"H1","13820",NA,142,"Birmingham-Hoover, AL","Metropolitan Statistical Area","","Birmingham-Hoover-Talladega, AL","Chilton County","Alabama","Outlying","AL","Chilton County","Chilton County",40516,700.8,"Chilton",1021,0.000107550596776582,57.8139269406393
"38","AL","Choctaw",1,23,"AL","Choctaw County",15922,3.66624221,NA,0.043093532,1.255505556,0.229159316,0,1.784903594,0,0.012945998,0.032542176,0.308092038,2.138483806,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Choctaw County",15418,920.91,"Choctaw",1023,0.000237789739914386,16.7421354964112
"39","AL","Clarke",1,25,"AL","Clarke County",27867,2.798339564,NA,0.074428904,0.557641558,0.242736313,0.023986483,1.621907199,0,0.015571772,0.03914252,0.222924814,1.899546306,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Clarke County",27557,1252.6,"Clarke",1025,0.000101547322422615,21.9998403321092
"40","AL","Clay",1,27,"AL","Clay County",14254,2.689950559,NA,0.046664553,0.353352019,0.231207689,0,1.812862082,0,0.02230348,0.056064073,0.167496663,2.058726298,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Clay County",14163,606.05,"Clay",1027,0.00018992802082892,23.3693589637819
"41","AL","Cleburne",1,29,"AL","Cleburne County",14123,4.920487241,NA,0.026043708,0.213385221,0.24056888,0,4.346542999,0,0,0,0.093946433,4.440489431,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Cleburne County",14578,561.06,"Cleburne",1029,0.000337528278296063,25.9829608241543
"42","AL","Coffee",1,31,"AL","Coffee County",43615,3.014152882,NA,0.083613973,0.244103215,0.227561645,0,1.591958166,0,0.203444239,0.511394653,0.15207699,2.458874048,"H1","21460",NA,222,"Enterprise, AL","Micropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Coffee County","Alabama","Central","AL","Coffee County","Coffee County",43878,680.52,"Coffee",1031,6.86939441633621e-05,64.4771645212485
"43","AL","Colbert",1,33,"AL","Colbert County",54984,35.8428906,NA,0.121084808,0.638543877,0.22534732,32.61365946,1.677407619,0,0.095856373,0.240952692,0.23003845,2.244255133,"H1","22520",NA,NA,"Florence-Muscle Shoals, AL","Metropolitan Statistical Area","","","Colbert County","Alabama","Central","AL","Colbert County","Colbert County",54850,623.66,"Colbert",1033,0.000653471113947129,87.9485617163198
"44","AL","Conecuh",1,35,"AL","Conecuh County",14089,13.14291576,NA,0.047942549,0.116148752,0.228846616,0.020188719,4.438316291,0,2.303267543,5.789688599,0.198516691,12.72978912,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Conecuh County",13687,852.58,"Conecuh",1035,0.000960248101117849,16.0536254662319
"45","AL","Coosa",1,37,"AL","Coosa County",12202,3.766463743,NA,0.017151528,0.72102614,0.225947297,0,2.583417501,0,0,0,0.218921276,2.802338777,"H1","45180",NA,142,"Talladega-Sylacauga, AL","Micropolitan Statistical Area","","Birmingham-Hoover-Talladega, AL","Coosa County","Alabama","Outlying","AL","Coosa County","Coosa County",11871,666.41,"Coosa",1037,0.000317282768343021,17.813358142885
"46","AL","Covington",1,39,"AL","Covington County",37631,9.887778545,NA,0.079790432,0.176489617,0.235001054,5.646159024,1.784690158,0,0.513709929,1.291304849,0.160633482,3.750338418,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Covington County",36956,1043.95,"Covington",1039,0.000267555432000216,35.400162843048
"47","AL","Crenshaw",1,41,"AL","Crenshaw County",13665,2.639735513,NA,0.054159717,0.070488444,0.234411144,0,2.098547583,0,0,0,0.182128625,2.280676208,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Crenshaw County",13663,610.91,"Crenshaw",1041,0.000193203214008636,22.36499648066
"48","AL","Cullman",1,43,"AL","Cullman County",77483,2.722735084,NA,0.083317032,0.179087849,0.230167538,0.062873896,1.840337495,0,0.052638792,0.132317282,0.1419952,2.167288769,"H1","18980",NA,142,"Cullman, AL","Micropolitan Statistical Area","","Birmingham-Hoover-Talladega, AL","Cullman County","Alabama","Central","AL","Cullman County","Cullman County",77973,754.86,"Cullman",1043,3.4918947379221e-05,103.294650663699
"49","AL","Dale",1,45,"AL","Dale County",49129,5.588555373,NA,0.113187433,0.379993709,0.235381814,3.04718e-05,3.012749553,0,0.499382763,1.255290768,0.092538862,4.859961946,"H1","37120",NA,222,"Ozark, AL","Micropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Dale County","Alabama","Central","AL","Dale County","Dale County",49186,562.72,"Dale",1045,0.000113620854979059,87.4075916974694
"50","AL","Dallas",1,47,"AL","Dallas County",46365,2.330908005,NA,0.094811509,0.242397605,0.236823819,0,1.254822905,0,0.102462684,0.257558857,0.142030627,1.756875073,"H1","42820",NA,NA,"Selma, AL","Micropolitan Statistical Area","","","Dallas County","Alabama","Central","AL","Dallas County","Dallas County",45653,993.46,"Dallas",1047,5.10570609817537e-05,45.9535361262658
"51","AL","DeKalb",1,49,"AL","DeKalb County",64452,2.837950172,NA,0.076582733,0.382542038,0.216057674,0,1.900876491,0,0.027434,0.068960437,0.165496798,2.162767726,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"DeKalb County",65605,778.71,"DeKalb",1049,4.32581384345705e-05,84.2483080992924
"52","AL","Elmore",1,51,"AL","Elmore County",65874,2.257226033,NA,0.046921736,0.254701145,0.22673484,0,1.346467858,0,0.064211693,0.161407976,0.156780784,1.728868311,"H1","33860",NA,NA,"Montgomery, AL","Metropolitan Statistical Area","","","Elmore County","Alabama","Central","AL","Elmore County","Elmore County",68771,657.26,"Elmore",1051,3.28223529249248e-05,104.632869792776
"53","AL","Escambia",1,53,"AL","Escambia County",38440,8.23540582,NA,0.081642276,1.945956663,0.22480687,0.000368694,2.200366422,0,1.040610915,2.615767698,0.125886282,5.982631318,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Escambia County",38347,953.04,"Escambia",1053,0.000214760106918403,40.2365063376144
"54","AL","Etowah",1,55,"AL","Etowah County",103459,4.083935851,NA,0.10431928,0.156034195,0.235288991,1.778262116,1.628883458,0,0.027054965,0.068007637,0.086085208,1.810031269,"H1","23460",NA,NA,"Gadsden, AL","Metropolitan Statistical Area","","","Etowah County","Alabama","Central","AL","Etowah County","Etowah County",103105,548.81,"Etowah",1055,3.96094840308423e-05,187.870118984712
"55","AL","Fayette",1,57,"AL","Fayette County",18495,2.734175643,NA,0.072908108,0.194513875,0.230408601,0,1.805572542,0,0.088811464,0.223243939,0.118717113,2.236345058,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Fayette County",18256,629.38,"Fayette",1057,0.000149768604458808,29.0063236836252
"56","AL","Franklin",1,59,"AL","Franklin County",31223,3.119508775,NA,0.062274033,0.332437921,0.224112937,0,2.123117403,0,0.069194506,0.173933124,0.134438852,2.500683885,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Franklin County",30851,646.55,"Franklin",1059,0.000101115321221354,47.7163405769082
"57","AL","Geneva",1,61,"AL","Geneva County",25764,2.280855025,NA,0.047573585,0.107311279,0.22840271,0,1.565289248,0,0.041273904,0.103749623,0.187254675,1.897567451,"H1","20020",NA,222,"Dothan, AL","Metropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Geneva County","Alabama","Outlying","AL","Geneva County","Geneva County",25346,578.96,"Geneva",1061,8.99887566085378e-05,43.7784993781954
"58","AL","Greene",1,63,"AL","Greene County",9974,108.1917274,NA,0.044818658,0.061714231,0.230142873,102.3902358,5.170578491,0,0,0,0.294237415,5.464815906,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Greene County",10035,659.99,"Greene",1063,0.0107814377080219,15.2047758299368
"59","AL","Hale",1,65,"AL","Hale County",17185,3.310993607,NA,0.033985516,1.039692882,0.231010233,0,1.768534836,0,0.013044063,0.032788773,0.191937304,2.006304977,"H1","46220",NA,NA,"Tuscaloosa, AL","Metropolitan Statistical Area","","","Hale County","Alabama","Outlying","AL","Hale County","Hale County",17067,656.52,"Hale",1065,0.000193999742602684,25.996161579236
"60","AL","Henry",1,67,"AL","Henry County",16310,4.127166214,NA,0.059293548,0.183603378,0.228078123,0,2.456487724,0,0.27003974,0.678794451,0.250869249,3.656191165,"H1","20020",NA,222,"Dothan, AL","Metropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Henry County","Alabama","Outlying","AL","Henry County","Henry County",16292,568.38,"Henry",1067,0.000253324712374171,28.663922023998
"61","AL","Houston",1,69,"AL","Houston County",88787,2.528635878,NA,0.178402616,0.220324949,0.228461966,0,1.753899468,0,0,0,0.14754688,1.901446347,"H1","20020",NA,222,"Dothan, AL","Metropolitan Statistical Area","","Dothan-Enterprise-Ozark, AL","Houston County","Alabama","Central","AL","Houston County","Houston County",89966,581.71,"Houston",1069,2.81065722384012e-05,154.657819188255
"62","AL","Jackson",1,71,"AL","Jackson County",53926,56.78424686,NA,0.054794979,4.262619673,0.22554405,49.89684866,2.077544435,0,0.015416972,0.038753419,0.212724678,2.344439502,"H1","42460",NA,174,"Scottsboro, AL","Micropolitan Statistical Area","","Chattanooga-Cleveland-Dalton, TN-GA-AL","Jackson County","Alabama","Central","AL","Jackson County","Jackson County",54035,1126.82,"Jackson",1071,0.00105087900175812,47.9535329511368
"63","AL","Jefferson",1,73,"AL","Jefferson County",662047,11.35984367,NA,0.242668485,1.392235281,0.233598717,7.347942997,1.674339157,0.125461583,0.057360072,0.144185125,0.14205225,2.017936604,"H1","13820",NA,142,"Birmingham-Hoover, AL","Metropolitan Statistical Area","","Birmingham-Hoover-Talladega, AL","Jefferson County","Alabama","Central","AL","Jefferson County","Jefferson County",661153,1123.87,"Jefferson",1073,1.71818681454973e-05,588.282452596831
"64","AL","Lamar",1,75,"AL","Lamar County",15904,2.707453494,NA,0.044992389,0.305041847,0.23708475,0,1.967377487,0,0,0,0.152957022,2.120334509,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Lamar County",15499,605.51,"Lamar",1075,0.000174685689012194,25.5966045152021
"65","AL","Lauderdale",1,77,"AL","Lauderdale County",87966,2.064280431,NA,0.120712654,0.160037908,0.225822024,0,1.398618174,0,0,0,0.159089671,1.557707845,"H1","22520",NA,NA,"Florence-Muscle Shoals, AL","Metropolitan Statistical Area","","","Lauderdale County","Alabama","Central","AL","Lauderdale County","Lauderdale County",87116,718.84,"Lauderdale",1077,2.36957669199688e-05,121.189694507818
"66","AL","Lawrence",1,79,"AL","Lawrence County",34803,2.498952007,NA,0.034345266,0.126526315,0.229148985,0,1.766815868,0,0.040846073,0.102674163,0.198595338,2.108931441,"H1","19460",NA,290,"Decatur, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL","Lawrence County","Alabama","Outlying","AL","Lawrence County","Lawrence County",34655,718.13,"Lawrence",1079,7.21094216418987e-05,48.2572793226853
"67","AL","Lee",1,81,"AL","Lee County",115092,3.615523123,NA,0.087925898,0.232564948,0.208771867,1.397605058,1.332734903,0,0.061671561,0.155022868,0.139226021,1.688655352,"H1","12220",NA,194,"Auburn-Opelika, AL","Metropolitan Statistical Area","","Columbus-Auburn-Opelika, GA-AL","Lee County","Alabama","Central","AL","Lee County","Lee County",118123,615.61,"Lee",1081,3.06081213904151e-05,191.879599096831
"68","AL","Limestone",1,83,"AL","Limestone County",65676,3.962228992,NA,0.066561767,0.204365342,0.226418432,0,2.016806771,0,0.301931461,0.758960528,0.387184691,3.464883451,"H1","26620",NA,290,"Huntsville, AL","Metropolitan Statistical Area","","Huntsville-Decatur-Albertville, AL","Limestone County","Alabama","Outlying","AL","Limestone County","Limestone County",67842,607.12,"Limestone",1083,5.84037763037646e-05,111.743971537752
"69","AL","Lowndes",1,85,"AL","Lowndes County",13473,10.93138461,NA,0.023520369,0.175173144,0.227325677,6.376275704,3.901636491,0,0,0,0.227453223,4.129089715,"H1","33860",NA,NA,"Montgomery, AL","Metropolitan Statistical Area","","","Lowndes County","Alabama","Outlying","AL","Lowndes County","Lowndes County",13508,725.09,"Lowndes",1085,0.000809252636215576,18.6294115213284
"70","AL","Macon",1,87,"AL","Macon County",24105,3.893861699,NA,0.113196083,0.003473653,0.224239473,0,3.153178511,0,0.08698153,0.218644195,0.094148254,3.55295249,"H1",NA,NA,NA,NA,"Non-MSA",NA,NA,NA,NA,NA,NA,NA,"Macon County",23788,613.29,"Macon",1087,0.000163690167269211,38.7875230315185
